user_id,item_id
0,2732 1543 2862 1811 2630 3059 2256 2331 3298 790
1,3529 1039 463 169 208 36 3153 1811 1211 124
2,1831 640 2210 463 1039 1956 2630 2646 2603 1560
3,3022 3529 2603 3327 169 2194 1617 2342 512 2186
4,1560 2862 1337 3409 1583 2402 487 1809 2338 94
5,3013 3022 2054 1223 1039 3409 2862 1315 472 1831
6,472 3402 2281 2528 2636 2402 863 463 1887 1223
7,2210 476 463 2630 584 2745 2626 2646 1746 82
8,3529 1543 472 1223 2297 463 2980 2528 3013 1240
9,1560 36 3013 1505 2054 3694 124 2630 2646 2297
10,1543 472 3013 2564 2862 1223 3529 1316 3409 1583
11,1831 2732 1039 584 1956 2980 2630 640 2757 2646
12,2210 2297 2688 3013 2261 1960 1045 472 1463 2534
13,2210 640 1831 3694 2626 584 3529 2732 1223 2646
14,2370 2402 3677 2342 1560 989 2256 3119 1887 2132
15,989 246 1887 2774 2342 183 1633 1781 1456 1668
16,2054 3677 37 2980 1227 3448 2636 1678 1341 1887
17,3529 36 1831 472 2732 1337 2314 944 3272 1030
18,640 2664 3000 1376 1638 528 160 1216 1868 3656
19,1543 2732 1560 3409 2054 1316 1583 2646 36 3022
20,1315 1615 3402 863 3677 2528 3448 2370 1887 1371
21,472 1699 36 601 1316 584 1560 2980 1166 169
22,2646 2210 2402 1811 1543 3059 3409 1001 1211 3529
23,2646 3059 2256 1811 1057 472 790 922 1030 2673
24,3013 3022 3409 1583 124 1560 1039 1186 3151 2297
25,1039 2732 36 640 169 1316 1543 3409 2210 1223
26,3153 2564 1560 124 1315 3272 476 463 707 2054
27,1543 3013 3529 472 1223 1316 1831 463 476 3409
28,36 3022 2603 2297 3529 2745 1030 2646 1960 3409
29,573 2688 36 93 472 2862 3022 1638 3653 2230
30,3022 3528 584 169 2688 2510 2314 2067 2331 3059
31,1831 1543 472 3013 640 2980 1316 2564 3350 3327
32,472 463 1583 1543 3022 640 1560 584 1615 3423
33,640 2297 3529 1039 584 208 3694 463 1956 2331
34,1583 3692 36 1376 1223 1543 1279 2862 1887 3269
35,1223 1543 3013 2862 3409 1186 1560 2297 2402 640
36,472 1560 2402 1337 3677 1371 2256 2774 1315 1887
37,2732 2256 3022 1039 476 1560 640 1831 3692 36
38,1831 3529 2757 584 3528 2603 463 2250 1956 2366
39,472 989 1315 2402 1337 2370 1422 3365 1371 3119
40,472 3013 2862 1543 3022 1223 1560 1039 2281 1831
41,1583 2862 2297 463 1039 1568 2784 2488 2931 36
42,472 3013 106 3677 1808 2397 183 2402 109 1560
43,2630 1831 584 2331 3053 3473 3215 2501 3529 2646
44,1560 1583 640 472 208 293 331 1223 1039 3022
45,2688 2603 1831 2297 169 2314 1855 1078 2980 584
46,2603 2732 1376 2630 2297 1583 472 2817 2222 168
47,3013 472 1223 618 3151 3409 1831 236 3131 1505
48,1543 1316 3013 1560 124 463 3153 2297 3022 1583
49,472 1086 1868 1560 3529 1545 2653 1831 1543 3656
50,1583 2603 2510 2626 2314 2784 331 2331 398 119
51,2402 3677 2068 1887 2256 3256 1560 989 3133 2376
52,2210 2646 208 169 2331 2688 1560 293 2342 2745
53,1505 472 1223 2862 1543 3423 796 3022 3529 1279
54,3529 3013 476 1615 2980 124 863 2757 1337 3272
55,989 640 2862 2210 467 2630 476 2370 183 2603
56,1039 3423 640 2732 1615 2297 707 2606 1916 1960
57,2688 1543 1859 2646 3142 2402 494 2224 1946 512
58,1223 3692 2862 472 2510 1505 1831 2054 2470 3131
59,169 1583 1223 2067 2510 1543 2664 772 779 922
60,3022 3409 1354 1039 1583 1638 3153 741 2557 2931
61,169 2314 2757 3049 2602 119 398 1956 1753 649
62,2784 2732 2626 169 3049 2256 3048 36 3053 3382
63,640 2688 2210 2297 584 2732 2603 1086 1956 2630
64,472 3656 36 1316 3013 3423 1223 1337 640 1246
65,2603 2630 3528 944 1746 2366 119 3262 398 3418
66,1831 3529 2980 2564 989 463 1316 3238 3327 1583
67,2564 3409 1223 3153 3529 1831 124 2297 169 1211
68,472 160 1216 1300 1868 1375 2297 620 402 495
69,1543 1615 2054 2067 2862 1057 1337 138 331 1811
70,3022 472 1316 2603 36 3059 2054 1960 1030 1337
71,3013 1543 1315 1560 36 3022 2564 1583 3409 1039
72,1615 3529 1039 2297 463 2980 640 1316 3298 1711
73,922 3692 2470 2054 472 3131 1030 2928 2664 3022
74,1039 1316 2862 1223 2564 2732 2664 1354 1186 2603
75,3022 1039 1211 36 2980 584 463 208 293 2768
76,1543 3022 1831 1316 584 2256 3013 640 2210 208
77,2314 2342 3238 3473 3529 2784 543 1248 3234 1078
78,1583 2314 463 989 2054 124 2688 1887 2370 584
79,3022 1615 3529 584 476 1543 3692 1030 472 2646
80,1039 476 2366 2603 1615 2673 3528 3317 1592 1337
81,1315 3367 1678 1746 3116 863 1831 3677 3448 872
82,2256 989 1887 3677 3365 382 120 2068 3119 2342
83,1030 1583 3022 472 1316 2564 3529 2664 1543 640
84,293 2664 1711 640 1831 183 3053 2768 2468 2338
85,3013 472 1560 3529 463 2862 124 1615 640 3350
86,1057 3142 12 1583 1001 1178 2768 472 1658 2297
87,1186 204 2646 2281 1808 2119 2297 2587 2335 1039
88,3409 2402 2646 2210 463 640 3692 2603 2297 169
89,2402 989 1315 2256 1371 3205 3365 2068 2281 2342
90,1337 1371 2068 2342 1781 512 3415 2281 528 183
91,1543 1505 2067 3382 169 2732 3418 922 236 523
92,1039 640 472 2646 3013 1543 169 2732 476 2688
93,1583 1039 472 1316 3013 640 2630 2210 3059 476
94,472 1615 1223 2646 3022 1039 1840 640 463 2732
95,3529 3694 36 2603 1030 331 1560 1811 2745 3238
96,1560 472 467 2256 246 2281 183 1315 3022 512
97,1811 3022 1831 2297 472 3529 2980 1039 584 2054
98,989 1887 1560 3256 2342 2256 1470 1633 1371 1315
99,2757 2342 119 1617 1374 3349 3238 2541 3172 463
100,472 1315 1316 2862 3013 1560 2402 1543 3409 1223
101,472 3013 476 1831 463 1316 2054 2564 1811 2617
102,2402 1781 1956 1315 1337 183 2256 1633 467 188
103,1583 1039 2210 3694 2297 1211 1831 2630 640 208
104,467 1560 2256 1887 989 1510 3256 3415 1470 2376
105,1337 3600 232 472 3656 2653 312 810 2862 3406
106,2862 1560 472 3013 463 1316 2564 3409 476 3022
107,2862 3013 1543 3153 3529 1560 2402 1505 1279 3022
108,2784 3013 472 1039 2210 2054 2297 3423 1279 1223
109,472 312 232 584 463 802 640 1272 801 3600
110,3423 3013 3409 1223 2054 1583 3529 1505 3022 463
111,640 3013 1316 3529 169 1030 2980 3402 124 2862
112,2862 1560 2564 640 989 476 36 528 1811 2617
113,1583 1831 1316 1543 3013 463 2980 36 2646 476
114,2054 1583 3022 3227 2956 2297 1039 584 2636 2646
115,2076 463 3409 487 1590 1353 1315 3247 883 2564
116,183 1831 3529 1583 1781 802 188 1223 584 1868
117,3022 640 3694 2210 2732 2646 2603 2630 208 2862
118,1560 246 467 1887 2256 1337 3600 2281 989 2342
119,3151 1315 3022 1186 2165 1039 132 2817 2054 3409
120,463 1638 3656 3000 1216 3262 1848 3335 2541 2653
121,472 584 1376 1858 2387 1300 1216 3656 3022 528
122,2210 1543 3059 1560 3692 2688 169 1376 1505 3153
123,472 463 2387 528 3000 1638 1868 3371 1044 3262
124,1831 2646 3529 1811 3692 1223 2210 640 3013 2745
125,1583 3013 1316 1039 1560 3409 640 1831 2745 2564
126,1831 476 3013 1583 2564 1039 2862 331 1746 2646
127,640 463 3022 3656 2653 3529 2980 3311 312 2664
128,2646 3529 2757 2980 1337 3013 2338 2314 2636 1809
129,1039 2210 3529 1543 124 2603 476 2256 2732 3409
130,1831 640 2980 584 208 2757 1956 1809 1490 3022
131,1315 124 989 1543 1316 1337 246 1887 1371 2564
132,1186 253 3557 1279 1808 2297 3000 2587 3022 1583
133,3022 1039 3694 208 2745 463 2331 1960 2646 1746
134,3692 2402 2646 1057 1887 1811 401 1968 1912 2664
135,3013 3022 3529 1316 2862 2402 2054 2745 2606 2366
136,3529 1831 472 3327 1583 1337 208 293 2297 3238
137,2564 1583 463 2054 3409 863 2617 2297 2314 3022
138,640 1560 2757 169 1811 1746 785 2956 2129 2402
139,2732 236 401 472 3142 1912 1057 1859 1315 1279
140,1560 2402 467 1668 3600 246 512 989 2068 382
141,2402 989 467 246 1887 3677 2342 482 3600 527
142,1039 2862 472 1279 3269 2603 1543 3013 796 2688
143,472 79 1868 1086 1246 2402 312 1545 1223 3101
144,2603 2630 584 463 476 3694 1546 3528 208 3529
145,3022 1583 1211 2297 2745 2626 82 3317 119 1640
146,1560 2402 1337 2256 246 2342 467 3677 528 382
147,1543 1315 3529 1316 2862 1223 3013 1560 2054 463
148,2564 1543 36 1560 3694 3529 2327 2210 2646 1831
149,640 3529 2630 1831 476 1316 2745 2931 732 2828
150,1583 1316 1811 1543 1039 1337 2602 989 1746 2617
151,463 36 2732 584 2757 1505 3692 2862 1223 169
152,2054 3692 2862 69 2745 3382 1045 331 1102 2067
153,36 1583 2210 2297 1831 3418 640 2745 2366 476
154,2784 2630 2564 1279 2314 512 1811 618 2602 1078
155,3529 3022 1583 2732 1543 36 2862 1223 584 1211
156,472 2297 1615 2688 3692 169 1315 1811 2342 2980
157,1039 2297 1583 1831 584 463 2646 1956 2626 640
158,989 3022 1583 3529 1316 2564 2862 1039 3677 3409
159,1039 2314 208 2603 1211 3474 2534 3238 1960 2617
160,2210 1831 1316 2646 2297 2603 1337 1615 1186 2630
161,584 2980 3656 2210 3409 1039 3529 2664 2732 1560
162,36 1279 3022 3151 2862 3013 2297 472 3418 1223
163,1583 2468 2688 1543 2603 2630 3053 2402 1211 2314
164,3013 1831 1560 2646 2297 1211 2630 2862 3692 2402
165,2402 246 2256 1560 3677 2068 2370 1668 2342 1315
166,1583 3022 1831 2297 472 3694 1560 2646 584 2732
167,2745 331 2646 472 20 2626 3628 2534 2402 1560
168,3013 472 1543 36 2862 3022 1583 1831 3692 1039
169,1223 1560 1831 2862 124 1371 1583 863 1382 2757
170,1223 1543 1316 2732 1560 1337 2646 2603 3327 2630
171,640 463 2664 2980 3000 2387 1300 3656 528 3335
172,472 3013 1223 120 989 1887 2528 3350 707 3409
173,246 2402 2370 1337 1371 1887 3205 482 2281 512
174,1316 1583 1223 2862 2732 3529 3409 1811 3022 476
